unicorn_id,account_id,unicorn_uid,name,friendly_name,year_of_making,breed,color,horn_length_cm,horn_material,seat_capacity,magic_abilities,max_speed_kmh,fuel_type,fuel_capacity,hourly_rate,last_service_date,next_service_due,purchase_date,purchase_price,is_active,created_at,updated_at,is_available
d94de46b-8131-46bd-ae06-c351486068ca,d667a552-4b25-4a45-9d86-31d901fe30c2,MYTHIC-018,Mimosa Turquoise,Starry,2021,Celestial Nebula,Iridescent White,45.30,Starlight Crystal,3,"Weather manipulation, Teleportation, Healing aura",95.70,Astral Energy,75.20,325.00,2025-05-21,2025-11-17,2025-01-11,28500.00,t,2026-01-03 13:48:44.384073,2026-01-03 13:48:44.384073,t
f5c1aa79-c925-4437-9e27-971251b980ba,0330c2ef-f3be-4fc0-ae00-6edb9621e092,MYTHICAL-005,Sheratan Autunite,Aurora,2021,Celestial Pegasus,Stardust White,37.50,Crystal Prism,2,"Flight, Weather Control, Healing Aura",95.20,Starlight Essence,120.70,375.00,2025-04-26,2025-10-23,2025-01-14,28500.00,t,2026-01-03 13:48:44.35053,2026-01-03 13:48:44.35053,f
3a0742e5-f2d9-4fbd-b881-8a3306cc761d,0330c2ef-f3be-4fc0-ae00-6edb9621e092,MYTHICAL-021,Almach Wulfenite,Aurora,2022,Celestial Pegasus,Stardust Silver,45.20,Moonstone,2,"Weather control, Healing aura",95.00,Starlight Essence,120.50,375.00,2025-09-09,2026-03-08,2025-03-18,28500.00,t,2026-01-03 13:48:44.37807,2026-01-03 13:48:44.37807,t
3ae4f1cb-3784-4137-95f0-bb1cbcd5c3a6,d667a552-4b25-4a45-9d86-31d901fe30c2,MYTHIC-035,Deneb Onyx,Starlight,2021,Celestial Equine,Starlight Silver,45.20,Crystal Prism,2,"Teleportation, Weather Manipulation, Healing Aura",95.70,Stardust Essence,120.50,375.00,2025-08-03,2026-01-30,2025-03-22,28500.00,t,2026-01-03 13:48:44.386241,2026-01-03 13:48:44.386241,t
3d64f992-d59c-4a27-9b70-6e014922f9de,0330c2ef-f3be-4fc0-ae00-6edb9621e092,MYTHICAL-040,Altair Emerald,Rory,2021,Celestial,Iridescent White,45.20,Starlight Crystal,3,"Weather manipulation, teleportation, aura reading",95.70,Solar Essence,120.50,399.99,2025-11-22,2026-05-21,2025-08-23,28500.00,t,2026-01-03 13:48:44.380799,2026-01-03 13:48:44.380799,t
49ac222b-ec68-422e-8032-c407976d757b,0330c2ef-f3be-4fc0-ae00-6edb9621e092,MYTHICAL-010,Merope Carnelian,Aurora,2021,Celestial Steed,Iridescent White,45.70,Starlight Crystal,3,"Flight, Healing Aura, Weather Control",105.20,Aether Essence,120.50,399.99,2025-04-09,2025-10-06,2025-01-18,28500.00,t,2026-01-03 13:48:44.35053,2026-01-03 13:48:44.35053,t
51878d77-150b-46ea-8ec6-d61763f45ffa,0330c2ef-f3be-4fc0-ae00-6edb9621e092,MYTHICAL-047,Betelgeuse Crimson,Aurora,2021,Celestial Nebula,Iridescent Pearl,45.30,Starlight Crystal,3,"Weather control, teleportation, aura healing",95.20,Ethereal Stardust,120.50,375.00,2025-09-21,2026-03-20,2025-07-02,28500.00,t,2026-01-03 13:48:44.380799,2026-01-03 13:48:44.380799,t
56bc266c-6bf8-4793-81c8-84b14efac1ad,0330c2ef-f3be-4fc0-ae00-6edb9621e092,MYTHICAL-041,Tschermigite,Star,2021,Celestial Pegasus,Iridescent White,45.20,Crystal Prism,3,"Teleportation, Weather Control",95.30,Starlight Essence,120.00,375.00,2026-06-09,2026-12-06,2025-12-14,28500.00,t,2026-01-03 13:48:44.380799,2026-01-03 13:48:44.380799,t
5ab1fdf0-cac2-41ae-bba9-ea2efa750e7c,d667a552-4b25-4a45-9d86-31d901fe30c2,MYTHIC-013,Tinticite,Aurora,2022,Celestial,Iridescent White,45.20,Crystal Prism,3,"Weather control, Telepathy, Rainbow generation",95.70,Starlight Essence,120.50,399.99,2025-02-21,2025-08-20,2025-01-06,28500.00,t,2026-01-03 13:48:44.384073,2026-01-03 13:48:44.384073,f
65c7c369-d1e5-4b3b-949f-a55a2885b103,0330c2ef-f3be-4fc0-ae00-6edb9621e092,MYTHICAL-034,Lionrock Eudialyte,Starry,2021,Celestial Aurora,Iridescent White,45.30,Starlight Crystal,3,"Weather manipulation, Healing aura, Constellation navigation",95.20,Astral Energy,150.00,375.00,2025-06-04,2025-12-01,2025-03-30,28500.00,t,2026-01-03 13:48:44.37807,2026-01-03 13:48:44.37807,t
